filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_13_ch_297_strand.fast5	22e510b2-bd05-44d7-b64a-841d867d1949	8e5ee7889b5cadf6ba363925d445f102fe359c78	297	9.0875	1.8935	1356	0.20525	1356	1.68825	1356	773	11.057	-0.0021
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_15_ch_506_strand.fast5	5c8139c7-edd5-4471-b2e1-f5f79d4d0b07	8e5ee7889b5cadf6ba363925d445f102fe359c78	506	9.8635	1.595	1255	0.0	1255	1.595	1255	710	10.676	-0.0019
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_15_ch_78_strand.fast5	cbe36c8a-7c09-4c57-bc77-bdddd640d917	8e5ee7889b5cadf6ba363925d445f102fe359c78	78	9.8055	1.156	831	0.12575	831	1.03025	831	534	10.991	-0.0016
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_6_ch_151_strand.fast5	498d4c2b-730c-405e-865f-789dfe4a294f	8e5ee7889b5cadf6ba363925d445f102fe359c78	151	8.74825	3.56175	2750	0.04575	2750	3.516	2750	1673	12.093	-0.001
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_8_ch_137_strand.fast5	acde5ea8-d8de-4b73-aec9-9b38324314d4	8e5ee7889b5cadf6ba363925d445f102fe359c78	137	9.08475	1.41425	1079	0.03	1079	1.38425	1079	626	11.346	-0.0026
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_16_ch_194_strand.fast5	42a244dd-c451-4878-9a07-993a9f21f93f	8e5ee7889b5cadf6ba363925d445f102fe359c78	194	9.943	1.34825	1001	0.10175	1001	1.2465	1001	491	6.302	-0.0028
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_25_ch_32_strand.fast5	fb58a302-d6dc-4000-8e86-25e5fceffaa0	8e5ee7889b5cadf6ba363925d445f102fe359c78	32	11.80675	1.5865	1218	0.05375	1218	1.53275	1218	704	9.916	-0.0017
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_31_ch_138_strand.fast5	9d2f5266-f865-4a62-8942-5827c9176040	8e5ee7889b5cadf6ba363925d445f102fe359c78	138	11.50975	1.471	1112	0.06375	1112	1.40725	1112	689	11.01	-0.0031
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_20_ch_157_strand.fast5	5a83a4b6-a5d9-4cfc-bb59-925ae7b1afda	8e5ee7889b5cadf6ba363925d445f102fe359c78	157	9.67425	3.22775	2525	0.02	2525	3.20775	2525	1503	12.154	-0.0013
GXB01030_20170907__GA10000_sequencing_run_2_34587_read_22_ch_56_strand.fast5	ecf5b57e-e474-4ec3-9f6c-ab2eb10a1d30	8e5ee7889b5cadf6ba363925d445f102fe359c78	56	11.6095	1.186	918	0.0185	918	1.1675	918	435	7.288	-0.0009
